simulation_id,site_id,site_name,ready_for_service,total_capex_usd,unlevered_npv_usd,unlevered_irr
13,S03,Atlas West,2030-01-01,1089428053.4573994,-171553860.15145195,0.012187486303310013
14,S01,Atlas East,2028-10-01,1583361879.4090705,-38149871.017243385,0.11043762566026327
14,S02,Atlas Central,2029-04-01,2304671180.0287585,121890693.96110606,0.14392859891673204
14,S03,Atlas West,2029-10-01,1208046470.9565501,5838237.955202937,0.12273924065003783
15,S01,Atlas East,2028-05-01,1377827738.7659903,15387268.833771706,0.12378622683042217
15,S02,Atlas Central,2028-11-01,2005504819.7593858,197172121.7333281,0.15725146260894318
15,S03,Atlas West,2029-05-01,1051231534.0214592,46218472.198046565,0.14047029728681726
16,S01,Atlas East,2028-07-01,1551533743.5635142,-178685123.8299806,0.0764686904162366
16,S02,Atlas Central,2029-01-01,2258343560.075782,-81717543.07244754,0.10460963011695212
16,S03,Atlas West,2029-07-01,1183762782.126237,-91449202.77387285,0.07944701377023344
17,S01,Atlas East,2028-09-01,1376730865.8476214,-93727288.82148087,0.09327537960436794
17,S02,Atlas Central,2029-03-01,2003908260.2893157,30781974.977289677,0.1268203925955418
17,S03,Atlas West,2029-09-01,1050394660.6096666,-33739951.247725844,0.10221403227588999
18,S01,Atlas East,2028-08-01,1690177405.8616424,-177365668.69292295,0.07937202171704105
18,S02,Atlas Central,2029-02-01,2460147112.976391,-64597204.1515944,0.10851594382760288
18,S03,Atlas West,2029-08-01,1289542761.509253,-84078347.32778633,0.08470109664455183
19,S01,Atlas East,2028-06-01,1639771819.8705115,-249494315.2398386,0.0631393903224009
19,S02,Atlas Central,2028-12-01,2386778982.2559667,-180240702.67757082,0.08832891108116625
19,S03,Atlas West,2029-06-01,1251085166.2715752,-141013908.18396974,0.061943411992354314
20,S01,Atlas East,2028-07-01,1615190232.9961348,-125013602.41921091,0.0912099024516666
20,S02,Atlas Central,2029-01-01,2350999116.9165964,7659383.756582022,0.12136395632842167
20,S03,Atlas West,2029-07-01,1232330325.9155695,-48616433.046446204,0.09961547060560894
21,S01,Atlas East,2028-10-01,1536518967.1018503,-390556210.1256838,0.007962537108492818
21,S02,Atlas Central,2029-04-01,2236488718.781583,-398939665.7217188,0.030894276077131577
21,S03,Atlas West,2029-10-01,1172307063.7888193,-248307978.6668179,-0.012102671784148145
22,S01,Atlas East,2028-08-01,1399665469.8330235,-233490099.29659057,0.053571375223675055
22,S02,Atlas Central,2029-02-01,2037290850.5347342,-175093825.0127933,0.08147241416610385
22,S03,Atlas West,2029-08-01,1067892914.0207515,-135540897.86303663,0.049433196432390414
23,S01,Atlas East,2028-10-01,1456600575.7324717,113715352.9995681,0.14980140319548996
23,S02,Atlas Central,2029-04-01,2120163060.23282,326663855.2904484,0.1871707504134701
23,S03,Atlas West,2029-10-01,1111332291.1144044,107776261.78872049,0.1730942141462437
24,S01,Atlas East,2028-12-01,1374432374.2738461,120871086.12618113,0.15552853555692248
24,S02,Atlas Central,2029-06-01,2000562678.1097095,329813607.29825544,0.19667590742620877
24,S03,Atlas West,2029-12-01,1048640996.6681937,94543636.80393684,0.17358645694664188
25,S01,Atlas East,2028-09-01,1436896331.9472406,-100259285.79257941,0.09264281064640012
25,S02,Atlas Central,2029-03-01,2091482438.7232056,23574564.89200735,0.12500701223807642
25,S03,Atlas West,2029-09-01,1096298682.8930798,-37133527.00503409,0.10124952913771312
26,S01,Atlas East,2029-01-01,1636022375.631014,-399553553.8332541,0.0023484678288547833
26,S02,Atlas Central,2029-07-01,2381321457.8629208,-422991073.8460078,0.02146434983030021
26,S03,Atlas West,2030-01-01,1248224479.185144,-280323947.816589,-0.0389116027354478
27,S01,Atlas East,2028-08-01,1539527198.5356483,-140773107.02403915,0.08479279561780695
27,S02,Atlas Central,2029-02-01,2240867366.7574434,-19918943.003047705,0.11614069319404696
27,S03,Atlas West,2029-08-01,1174602232.9568279,-61428014.12287903,0.09184796047568033
28,S01,Atlas East,2028-08-01,1348743936.638711,131050632.63113737,0.15473938947292964
28,S02,Atlas Central,2029-02-01,1963171729.996346,354213679.59342456,0.19295881061855535
28,S03,Atlas West,2029-08-01,1029041670.1762017,125048965.69019222,0.18114419607366905
29,S01,Atlas East,2028-08-01,1674869507.8892736,-349437032.1614784,0.035132730763562936
29,S02,Atlas Central,2029-02-01,2437865617.0388317,-325298438.97618604,0.05878446590914188
29,S03,Atlas West,2029-08-01,1277863402.3155198,-212245550.18928444,0.02581123854742695
30,S01,Atlas East,2028-07-01,1353788094.2476459,63028648.67340219,0.13648280434433557
30,S02,Atlas Central,2029-01-01,1970513781.627129,267398089.7662084,0.1739936103518871
30,S03,Atlas West,2029-07-01,1032890175.6111668,81349996.33893716,0.15882189173982675
31,S01,Atlas East,2029-02-01,1634477496.9706147,-113739442.02318966,0.0880981497045028
31,S02,Atlas Central,2029-08-01,2379072801.146117,-30365553.491318226,0.11316876029393308
31,S03,Atlas West,2030-02-01,1247045793.9849873,-103712620.21060658,0.062428416119519436
32,S01,Atlas East,2028-09-01,1379811410.3432112,202188252.97653258,0.17295186164091692
32,S02,Atlas Central,2029-03-01,2008392163.9440074,458870804.98035455,0.2138588153851655
32,S03,Atlas West,2029-09-01,1052745001.9655612,177055386.89886928,0.20637244482663752
33,S01,Atlas East,2028-07-01,1603265932.6389868,-297235004.635324,0.047538448334532024
33,S02,Atlas Central,2029-01-01,2333642635.285637,-259125715.96036553,0.07115942908691264
33,S03,Atlas West,2029-07-01,1223232526.3838196,-178943156.18024743,0.04070382500387826
34,S01,Atlas East,2028-07-01,1447904732.21564,15123178.56256771,0.12374371685774621
34,S02,Atlas Central,2029-01-01,2107505776.8916535,208771614.49824405,0.15991222552919448
34,S03,Atlas West,2029-07-01,1104697684.57934,51831364.430305004,0.1433914922382642
35,S01,Atlas East,2028-05-01,1426678089.5125685,-271078706.6028093,0.04982370025686822
35,S02,Atlas Central,2028-11-01,2076609219.1794052,-221323943.66757655,0.07612449571731372
35,S03,Atlas West,2029-05-01,1088502542.3688483,-159527328.8039757,0.04600871357193137
36,S01,Atlas East,2028-11-01,1516036738.2186565,-184379062.58237576,0.0681029597435523
36,S02,Atlas Central,2029-05-01,2206675696.740489,-97165904.24714541,0.09856787967097391
36,S03,Atlas West,2029-11-01,1156679881.7520123,-106969017.99908948,0.06324618151280204
37,S01,Atlas East,2028-07-01,1391927500.3939552,132088719.05833697,0.1529666472495883
37,S02,Atlas Central,2029-01-01,2026027806.1289797,366628434.1751065,0.1908168230033842
37,S03,Atlas West,2029-07-01,1061989129.930203,130105975.27932131,0.17939477470161957
38,S01,Atlas East,2028-11-01,1677221013.5731642,-430240682.63701653,0.003251296048126351
38,S02,Atlas Central,2029-05-01,2441288364.2009387,-438043676.69267607,0.027174483425084217
38,S03,Atlas West,2029-11-01,1279657514.0595253,-275548948.55808926,-0.019906164685524086
39,S01,Atlas East,2028-11-01,1384737360.4976985,-32392251.31602776,0.11042853524051255
39,S02,Atlas Central,2029-05-01,2015562158.0577612,109380780.46749759,0.14538425035868952
39,S03,Atlas West,2029-11-01,1056503319.4908366,-4022446.5966382027,0.11774837443807962
40,S01,Atlas East,2029-03-01,1591690150.6310992,-274455723.9593282,0.03463629963373838
40,S02,Atlas Central,2029-09-01,2316793441.4741554,-274927939.1751299,0.05111586042867855
40,S03,Atlas West,2030-03-01,1214400633.4444685,-228130638.15647554,-0.022067487753927306
41,S01,Atlas East,2029-01-01,1588571324.381136,-223903577.39941287,0.05539373458449126
41,S02,Atlas Central,2029-07-01,2312253816.599209,-172683202.78078365,0.08046102044427506
41,S03,Atlas West,2030-01-01,1212021084.5278296,-159881064.85501862,0.030625009938238357
42,S01,Atlas East,2028-11-01,1472015890.972825,-65167269.166136384,0.10172664120109443
42,S02,Atlas Central,2029-05-01,2142600907.9715567,71034333.60671186,0.1356389772135287
42,S03,Atlas West,2029-11-01,1123093605.7051926,-24744554.085126877,0.10687163571732938
43,S01,Atlas East,2028-09-01,1431752916.0715785,-83922452.28736484,0.09710680691787332
43,S02,Atlas Central,2029-03-01,2083995911.1708536,47199483.36029744,0.1300213294006265
43,S03,Atlas West,2029-09-01,1092374447.0768342,-25643217.41722405,0.10705381002869507
44,S01,Atlas East,2028-06-01,1519865953.8566794,-307485136.68878424,0.04271576602226057
44,S02,Atlas Central,2028-12-01,2212249332.8358335,-267408540.04181147,0.06834402621690772
44,S03,Atlas West,2029-06-01,1159601431.461022,-182472393.53265285,0.037347375584151354
45,S01,Atlas East,2029-03-01,1406944165.4128318,-124176489.320395,0.07797452349635181
45,S02,Atlas Central,2029-09-01,2047885396.323122,-76224613.54861093,0.09915618541675553
45,S03,Atlas West,2030-03-01,1073446289.1668273,-127213834.84900475,0.033170404149036825
46,S01,Atlas East,2028-06-01,1409956090.2095547,-216086706.74018216,0.06273280567517459
46,S02,Atlas Central,2028-12-01,2052269420.1939073,-148704864.69797444,0.08968297352887067
46,S03,Atlas West,2029-06-01,1075744276.2339563,-122902102.87010646,0.061163794527081095
47,S01,Atlas East,2028-08-01,1495106810.8040948,-86304885.78958559,0.09813439618656172
47,S02,Atlas Central,2029-02-01,2176211024.614849,62638498.68085742,0.13229149982143906
47,S03,Atlas West,2029-08-01,1140711122.3171983,-19952153.388863206,0.11073024954680899
48,S01,Atlas East,2028-08-01,1432176214.383172,-105868304.08711088,0.09179910259747093
48,S02,Atlas Central,2029-02-01,2084612045.3799505,19295014.005933046,0.12398336027905499
48,S03,Atlas West,2029-08-01,1092697408.0108645,-40204662.219382524,0.10034529835746131
49,S01,Atlas East,2028-10-01,1382948946.8372936,241450891.44749868,0.18433094810148987
49,S02,Atlas Central,2029-04-01,2012959022.6187272,512221454.9461088,0.22712542397849633
49,S03,Atlas West,2029-10-01,1055138826.1054906,199566246.02322268,0.2202082373385985
50,S01,Atlas East,2029-01-01,1639801842.6347215,52958698.306277275,0.13375299196561397
50,S02,Atlas Central,2029-07-01,2386822682.0572057,242467115.18095422,0.17014154320979125
50,S03,Atlas West,2030-01-01,1251108072.5287132,34825057.57168448,0.13766432479536617
51,S01,Atlas East,2028-12-01,1396025162.400192,92988235.01032448,0.14711559079586212
51,S02,Atlas Central,2029-06-01,2031992180.826946,291955990.2534027,0.18731270908568454
51,S03,Atlas West,2029-12-01,1065115494.275702,75771025.58065271,0.1625683863666212
52,S01,Atlas East,2028-09-01,1533333998.6034312,-187373343.40461504,0.07090999130766451
52,S02,Atlas Central,2029-03-01,2231852820.18944,-103900933.85662031,0.098796119419301
52,S03,Atlas West,2029-09-01,1169877050.786322,-100744549.52155602,0.07120951664911557
53,S01,Atlas East,2028-08-01,1461363000.4415734,-109753681.2193191,0.09129026450381339
53,S02,Atlas Central,2029-02-01,2127095033.976068,9907779.509381056,0.12201059914637225
53,S03,Atlas West,2029-08-01,1114965844.7813487,-45084623.89267659,0.09834629363456604
54,S01,Atlas East,2028-08-01,1671502449.9977117,-109940853.20600438,0.09495148626870753
54,S02,Atlas Central,2029-02-01,2432964677.2188916,30946146.782945633,0.1254764294877695
54,S03,Atlas West,2029-08-01,1275294461.8501058,-37146557.774967074,0.10446568842148185
55,S01,Atlas East,2029-01-01,1537375699.9486842,17319363.79306686,0.12483281134464086
55,S02,Atlas Central,2029-07-01,2237735741.036418,179928233.10891843,0.1599658734437852
55,S03,Atlas West,2030-01-01,1172960719.220107,8666113.419314742,0.12472194656219493
56,S01,Atlas East,2028-12-01,1418680074.7295263,-35155212.68037748,0.10955583919444156
56,S02,Atlas Central,2029-06-01,2064967664.3285327,117002524.48920584,0.14738868251781678
56,S03,Atlas West,2029-12-01,1082400353.312157,-9994402.224224448,0.11430713466484099
57,S01,Atlas East,2028-06-01,1561631780.2555075,-423141548.6188518,0.012667721581864022
57,S02,Atlas Central,2028-12-01,2273041813.4830165,-432866555.99863434,0.03578329933591462
57,S03,Atlas West,2029-06-01,1191467210.1208687,-264967843.0622133,-0.0007775456918003298
58,S01,Atlas East,2029-01-01,1519648161.033033,88200983.649629,0.14446184668956885
58,S02,Atlas Central,2029-07-01,2211932323.2814145,283800763.8241415,0.1826836135120451
58,S03,Atlas West,2030-01-01,1159435263.6029806,58760779.79123914,0.15187447098167373
59,S01,Atlas East,2028-10-01,1380069425.0753136,83509515.00991583,0.14322912780034747
59,S02,Atlas Central,2029-04-01,2008767718.720734,283722068.23649764,0.18180162974710035
59,S03,Atlas West,2029-10-01,1052941857.6500537,87243098.30418372,0.16556178669262112
60,S01,Atlas East,2028-09-01,1499899493.40167,-11746274.214044929,0.11700240411456608
60,S02,Atlas Central,2029-03-01,2183187040.395764,164071656.98238325,0.15260417539029114
60,S03,Atlas West,2029-09-01,1144367761.632385,30245159.763327956,0.13429562561001762
61,S01,Atlas East,2029-03-01,1390356505.7310119,-98616820.03114367,0.08642176918770672
61,S02,Atlas Central,2029-09-01,2023741136.1195838,-45134430.670452595,0.10757375416474058
61,S03,Atlas West,2030-03-01,1060790519.1873646,-110872269.33460891,0.043811888530155274
62,S01,Atlas East,2028-12-01,1543295677.787314,-142334093.2733488,0.07996946101329594
62,S02,Atlas Central,2029-06-01,2246352597.6682014,-36766610.52981496,0.11184852243856791
62,S03,Atlas West,2029-12-01,1177477443.0525432,-85483345.67965364,0.07403001049484459
63,S01,Atlas East,2028-09-01,1448908888.0609252,-85764686.04421723,0.09684697560730404
63,S02,Atlas Central,2029-03-01,2108967381.5109024,35570722.505316734,0.12748667410574455
63,S03,Atlas West,2029-09-01,1105463818.2983356,-31268535.46209383,0.10435833981735332
64,S01,Atlas East,2028-09-01,1563036318.1849914,-91548938.11652946,0.09710374357709939
64,S02,Atlas Central,2029-03-01,2275086196.469265,52029604.780252695,0.13012814644180937
64,S03,Atlas West,2029-09-01,1192538820.5411417,-25307621.12715876,0.10829761516397518
65,S01,Atlas East,2028-09-01,1712310096.0263245,-297574048.5802218,0.04847619353879029
65,S02,Atlas Central,2029-03-01,2492362473.1049833,-234513459.30679154,0.07621678525473063
65,S03,Atlas West,2029-09-01,1306429184.3756402,-168155828.53841627,0.04562694538603074
66,S01,Atlas East,2028-11-01,1391214768.5899734,-90130288.14399385,0.09309819742822811
66,S02,Atlas Central,2029-05-01,2024990385.392073,39731231.91805744,0.1292858784672386
66,S03,Atlas West,2029-11-01,1061445341.9612391,-39146801.07334602,0.09792919849200343
67,S01,Atlas East,2029-01-01,1444196850.1910071,-61100383.52637708,0.10144213207917119
67,S02,Atlas Central,2029-07-01,2102108748.6113548,57825299.38006234,0.13395136359815352
67,S03,Atlas West,2030-01-01,1101868707.9235091,-47027906.38485789,0.09217953070947726
68,S01,Atlas East,2028-12-01,1386681492.4052796,189971381.0847162,0.17433594126748408
68,S02,Atlas Central,2029-06-01,2018391950.0565736,447242851.36330724,0.22104087164843356
68,S03,Atlas West,2029-12-01,1057986620.1314355,148732010.24216497,0.20205774285000921
69,S01,Atlas East,2028-06-01,1743952564.6614084,-345919260.29264903,0.044214428204008005
69,S02,Atlas Central,2028-12-01,2538419844.1182723,-305651928.95496297,0.06845078664361215
69,S03,Atlas West,2029-06-01,1330571216.0009263,-204568228.31645572,0.039248233058619686
70,S01,Atlas East,2028-05-01,1429818880.356337,-249121321.3101251,0.0560385861940913
70,S02,Atlas Central,2028-11-01,2081180814.7408905,-188584566.28470755,0.08292412094764345
70,S03,Atlas West,2029-05-01,1090898849.457057,-143972974.01724815,0.053767524952700096
71,S01,Atlas East,2028-11-01,1347855441.6331072,-205884401.80932212,0.05389766206208346
71,S02,Atlas Central,2029-05-01,1961878476.1548562,-153134079.53264737,0.08147935833001907
71,S03,Atlas West,2029-11-01,1028363781.3941486,-130412691.06871617,0.04103184733375165
72,S01,Atlas East,2028-08-01,1611720419.0884204,-331446431.1827024,0.036443580990157765
72,S02,Atlas Central,2029-02-01,2345948610.0064783,-305640586.9228945,0.06030920228707881
72,S03,Atlas West,2029-08-01,1229682986.4156096,-201535927.45259786,0.027144458805266725
73,S01,Atlas East,2028-11-01,1606382966.480143,-448467947.2232846,-0.008667058017394091
73,S02,Atlas Central,2029-05-01,2338179651.209986,-484767469.5367191,0.011235368176881089
73,S03,Atlas West,2029-11-01,1225610707.758924,-295857052.2913141,-0.03896790412635709
74,S01,Atlas East,2028-12-01,1530416173.0849442,72750014.77716029,0.13948843585487714
74,S02,Atlas Central,2029-06-01,2227605763.045863,269313685.5378313,0.17711781028630158
74,S03,Atlas West,2029-12-01,1167650857.9833279,62000111.11205149,0.15199182571955117
75,S01,Atlas East,2028-08-01,1556136574.623384,-48193901.21773589,0.1083836891841381
75,S02,Atlas Central,2029-02-01,2265043236.3962593,118984971.71195412,0.1422477986656705
75,S03,Atlas West,2029-08-01,1187274571.7496932,6848799.172971606,0.12303100017027369
76,S01,Atlas East,2028-06-01,1629327392.8441787,-219003575.40279698,0.07023376126585479
76,S02,Atlas Central,2028-12-01,2371576538.473193,-132614640.3315022,0.09676636273040362
76,S03,Atlas West,2029-06-01,1243116455.2811139,-117422179.48486257,0.07178194258123471
77,S01,Atlas East,2029-04-01,1483318867.9018521,46922291.85458696,0.1348432875277885
77,S02,Atlas Central,2029-10-01,2159053018.834918,141570760.92675567,0.15671393310818793
77,S03,Atlas West,2030-04-01,1131717358.4732652,-43565032.25636804,0.09140437498017207
78,S01,Atlas East,2029-03-01,1445690465.5231233,26032116.90534866,0.12822618942208508
78,S02,Atlas Central,2029-09-01,2104282788.7058794,142286685.71159673,0.15640673863733423
78,S03,Atlas West,2030-03-01,1103008281.1028275,-28500253.041306973,0.10174248373139694
79,S01,Atlas East,2028-07-01,1496112322.3544664,-195201851.53091908,0.07042540280649878
79,S02,Atlas Central,2029-01-01,2177674602.538168,-106987614.01227331,0.0990175474129451
79,S03,Atlas West,2029-07-01,1141478290.3889635,-102984513.0973475,0.07242314206287914
80,S01,Atlas East,2028-08-01,1446523170.7294524,-46275544.50800967,0.10799171573309074
80,S02,Atlas Central,2029-02-01,2105494837.395092,105138773.33589172,0.1411693226806452
80,S03,Atlas West,2029-08-01,1103643604.334323,1938043.4664269686,0.120924212162276
81,S01,Atlas East,2028-09-01,1423210148.9195445,-93091077.38408732,0.09440075705891693
81,S02,Atlas Central,2029-03-01,2071561438.982893,34984989.20037007,0.12748458215084568
81,S03,Atlas West,2029-09-01,1085856632.1386156,-31929376.15637064,0.10375357611703429
82,S01,Atlas East,2028-09-01,1425516927.4416618,38091355.336242795,0.13009261067936118
82,S02,Atlas Central,2029-03-01,2074919083.2761965,225531731.81472325,0.16657000309767334
82,S03,Atlas West,2029-09-01,1087616618.7147493,61483368.98911083,0.15022573629576264
83,S01,Atlas East,2028-11-01,1449339661.8664985,47086819.706344366,0.13299089454958213
83,S02,Atlas Central,2029-05-01,2109594396.7167926,240386222.42972136,0.17210406590304084
83,S03,Atlas West,2029-11-01,1105792482.7574024,57352341.12212467,0.15001218989993226
84,S01,Atlas East,2028-09-01,1497269815.5871668,65319854.68416214,0.13637514729140476
84,S02,Atlas Central,2029-03-01,2179359398.243543,276067199.03392005,0.1739419176855601
84,S03,Atlas West,2029-09-01,1142361414.8553941,85367234.46574116,0.1596984630055407
85,S01,Atlas East,2028-10-01,1589826557.8446658,-237469409.4754051,0.05745824957027179
85,S02,Atlas Central,2029-04-01,2314080878.640569,-164133387.144233,0.08626273330149559
85,S03,Atlas West,2029-10-01,1212978781.1703746,-134272831.8572266,0.05416846616646431
86,S01,Atlas East,2028-06-01,1608235019.5330393,-428418024.88031745,0.014852490611204416
86,S02,Atlas Central,2028-12-01,2340875417.320313,-447355184.6873565,0.03552005752084009
86,S03,Atlas West,2029-06-01,1227023755.6437263,-271199880.1176063,0.00012156362961390776
87,S01,Atlas East,2028-08-01,1567711662.866221,-373955187.6477028,0.021590383328855767
87,S02,Atlas Central,2029-02-01,2281891420.394166,-370490379.9439194,0.04455216729339484
87,S03,Atlas West,2029-08-01,1196105935.3720055,-232545610.10390556,0.008281456658355335
88,S01,Atlas East,2028-07-01,1521730556.9353268,-174746631.52496183,0.07648989727204492
88,S02,Atlas Central,2029-01-01,2214963366.205865,-86553400.35199475,0.10333053544986037
88,S03,Atlas West,2029-07-01,1161024054.5506568,-93673381.02993107,0.07752105178005242
89,S01,Atlas East,2028-12-01,1448060764.0211253,3920679.33548975,0.12112937484041075
89,S02,Atlas Central,2029-06-01,2107732889.8529713,171052768.5390699,0.1588900881786468
89,S03,Atlas West,2029-12-01,1104816731.0679698,15758329.266007662,0.12871797029190257
90,S01,Atlas East,2028-05-01,1420680027.9850204,-66399840.120937705,0.10376896015065729
90,S02,Atlas Central,2028-11-01,2067878707.4004188,74316202.6476233,0.1339543778242056
90,S03,Atlas West,2029-05-01,1083926243.5737562,-14547526.018136144,0.11360266831340149
91,S01,Atlas East,2029-05-01,1508968336.0563564,-57947823.904529095,0.10083052077740096
91,S02,Atlas Central,2029-11-01,2196387244.7042522,-32378895.531213045,0.11114013638048159
91,S03,Atlas West,2030-05-01,1151286952.69485,-139784071.582587,0.022298456947896783
92,S01,Atlas East,2028-09-01,1373151180.3756948,103315477.75838637,0.14786498678196813
92,S02,Atlas Central,2029-03-01,1998697829.2135115,318991697.74378467,0.18707247810002925
92,S03,Atlas West,2029-09-01,1047663493.1755302,108202374.26506329,0.1742281186158774
93,S01,Atlas East,2028-07-01,1642465947.74559,-466760623.1593517,0.0034036167753126456
93,S02,Atlas Central,2029-01-01,2390700435.051914,-503497614.2265823,0.022936451602062702
93,S03,Atlas West,2029-07-01,1253140686.0577464,-298872068.6874018,-0.015253317145494716
94,S01,Atlas East,2028-10-01,1492176426.8142798,-198924967.1675005,0.06450560161303165
94,S02,Atlas Central,2029-04-01,2171945687.918563,-127691147.85715818,0.09216050864624337
94,S03,Atlas West,2029-10-01,1138475347.8657098,-114917820.43607116,0.06019326504230871
95,S01,Atlas East,2028-11-01,1542964904.7427826,-30120142.35305667,0.11203014493879881
95,S02,Atlas Central,2029-05-01,2245871139.1256056,126251861.32083249,0.14627450139917397
95,S03,Atlas West,2029-11-01,1177225075.4704192,934537.9415931702,0.12046861320816338
96,S01,Atlas East,2028-08-01,1609394002.332078,-129573443.72728634,0.0891328954263888
96,S02,Atlas Central,2029-02-01,2342562381.172247,-4158570.645381689,0.11923103793719259
96,S03,Atlas West,2029-08-01,1227908016.594104,-53569183.440155864,0.09658814457379461
97,S01,Atlas East,2029-02-01,1517756447.8132708,41459252.457069635,0.13202548726317254
97,S02,Atlas Central,2029-08-01,2209178829.594872,191298254.14436126,0.16455911695258307
97,S03,Atlas West,2030-02-01,1157991956.479755,3443572.0551968813,0.12198756439699121
98,S01,Atlas East,2028-06-01,1468659072.7316022,15729934.627909064,0.12373302773792805
98,S02,Atlas Central,2028-12-01,2137714872.5315542,207366014.90159464,0.15792058098833794
98,S03,Atlas West,2029-06-01,1120532477.713741,50526738.734978795,0.14172179385134775
99,S01,Atlas East,2028-07-01,1338962756.3626714,178009244.5847931,0.1655634181917216
99,S02,Atlas Central,2029-01-01,1948934678.705666,430684703.28599596,0.20529909259251045
99,S03,Atlas West,2029-07-01,1021578991.8915197,161982692.80405676,0.19588967611474284
100,S01,Atlas East,2028-05-01,1439781667.1297956,140774097.19052792,0.15216275266602053
100,S02,Atlas Central,2028-11-01,2095682204.3778136,381418960.33657527,0.18704928839028656
100,S03,Atlas West,2029-05-01,1098500086.7731032,136072615.21336496,0.17606331268111308
101,S01,Atlas East,2028-09-01,1574660795.4740107,104165331.32668996,0.1446430146772968
101,S02,Atlas Central,2029-03-01,2292006268.9677267,335091419.7857547,0.18187456558326964
101,S03,Atlas West,2029-09-01,1201407866.1764674,113441155.24285567,0.16983287255310286
102,S01,Atlas East,2029-02-01,1388111619.9242685,108751247.67065382,0.1538207409437593
102,S02,Atlas Central,2029-08-01,2020473580.1119907,282580850.8562648,0.1905668076884468
102,S03,Atlas West,2030-02-01,1059077754.4607383,50785439.15800822,0.15150467118957356
103,S01,Atlas East,2029-04-01,1709148476.524802,-270118712.52331746,0.0394835227726551
103,S02,Atlas Central,2029-10-01,2487760560.2749896,-300399146.38980293,0.0469556129990949
103,S03,Atlas West,2030-04-01,1304016985.792997,-254348991.79328203,-0.03496711581329204
104,S01,Atlas East,2028-07-01,1351179109.0262022,256698032.0605142,0.18391960632060944
104,S02,Atlas Central,2029-01-01,1966716258.6936946,541048662.2474697,0.2244104869531609
